fullmove_number;turn;san;lan;score;move_count;best_move;best_move_score;best_move_score_diff;best_move_score_diff_category;is_check;is_capture;is_castling;possible_moves_count;is_capture_count;attackers_white;attackers_count_white;threatened_pieces_white;threatened_pieces_count_white;guards_white;guards_count_white;guarded_pieces_white;guarded_pieces_count_white;threatened_guarded_pieces_white;threatened_guarded_pieces_count_white;unopposed_threats_white;unopposed_threats_count_white;attackers_black;attackers_count_black;threatened_pieces_black;threatened_pieces_count_black;guards_black;guards_count_black;guarded_pieces_black;guarded_pieces_count_black;threatened_guarded_pieces_black;threatened_guarded_pieces_count_black;unopposed_threats_black;unopposed_threats_count_black;pawn_ending;rook_ending
16;False;Nd7;Nf6-d7;80;37;bxa4;75;5;1;False;False;False;29;1;b4, e8, b5, b7;4;a4, d5, e4;3;b1, c1, d1, e1, g1, d2, g2, f3, e4;9;b1, c1, d5, e1, d1, g1, b2, d2, f2, g2, f3, h3, a4, e4;14;d5, e4, a4;3;;0;a4;1;b5;1;c5, a6, d6, b7, d7, g7, a8, b4, d8, e8, f8, g8;12;b5, c5, a6, d6, h6, d7, f7, g7, a8, b4, d8, e8, f8;13;b5;1;;0;False;False
17;True;Ra3;Ra1-a3;-35;29;Nf1;52;87;2;False;False;False;39;4;b4, e8, b5, b7;4;a4, d5, e4;3;b1, c1, d1, e1, g1, b2, d2, g2, a3, f3, e4;11;b1, c1, d5, e1, d1, g1, b2, d2, f2, g2, a3, f3, h3, a4, e4;15;d5, e4, a4;3;;0;a4;1;b5;1;c5, a6, d6, b7, d7, g7, a8, b4, d8, e8, f8, g8;12;b5, c5, a6, d6, h6, d7, f7, g7, a8, b4, d8, e8, f8;13;b5;1;;0;False;False
17;False;c4;c5-c4;43;39;g6;33;10;1;False;False;False;33;2;b4, e8, b5, b7;4;a4, d5, e4;3;b1, c1, d1, e1, g1, b2, d2, g2, a3, f3, e4;11;b1, c1, d5, e1, d1, g1, b2, d2, f2, g2, a3, f3, h3, a4, e4;15;d5, e4, a4;3;;0;a4, d2;2;b5, c4;2;b5, a6, b7, d7, g7, a8, b4, d8, e8, f8, g8;11;b5, a6, d6, h6, d7, f7, g7, a8, c4, d8, e8, f8;12;b5, c4;2;;0;False;False
18;True;Nd4;Nf3-d4;-19;33;Ree3;1;20;1;False;False;False;40;4;b4, e8, b5, b7;4;a4, d5, e4;3;b1, c1, d1, e1, g1, b2, d2, g2, a3, e4;10;b1, c1, d5, e1, d1, g1, b2, d2, f2, g2, a3, h3, a4, e4;14;d5, e4, a4;3;;0;a4, d2, d4;3;b5, c4;2;b5, a6, b7, d7, g7, a8, b4, d8, e8, f8, g8;11;b5, a6, d6, h6, d7, f7, g7, a8, c4, d8, e8, f8;12;b5, c4;2;;0;False;False
18;False;Qf6;Qd8-f6;72;40;Qb6;1;71;2;False;False;False;44;3;b5, f6, b7, b4, e8;5;d5, f2, a4, d4, e4;5;b1, c1, d1, e1, g1, b2, d2, g2, a3, e4;10;b1, c1, d5, e1, d1, g1, b2, d2, f2, g2, a3, h3, a4, e4;14;d5, e4, a4, f2;4;d4;1;a4, d2, d4;3;b5, c4;2;b5, a6, f6, b7, d7, g7, a8, b4, e8, f8, g8;11;b5, a6, d6, f6, h6, f7, g7, a8, c4, e8, f8;11;b5, c4;2;;0;False;False
19;True;N2f3;Nd2-f3;0;44;N2f3;16;16;0;False;False;False;43;6;b5, f6, b7, b4, e8;5;d5, f3, a4, d4, e4;5;b1, c1, d1, e1, g1, b2, g2, a3, f3, d4, e4;11;c1, d5, e1, d1, g1, b2, f2, g2, a3, f3, h3, a4, d4, e4;14;d5, e4, d4, a4, f3;5;;0;a4, c1, d4;3;b5, h6;2;b5, a6, f6, b7, d7, g7, a8, b4, e8, f8, g8;11;b5, a6, d6, f6, h6, f7, g7, a8, c4, e8, f8;11;h6, b5;2;;0;False;False
19;False;Nc5;Nd7-c5;51;43;Nc5;35;16;0;False;False;False;44;3;b5, c5, f6, b7, b4, e8;6;d5, f3, a4, d4, e4;5;b1, c1, d1, e1, g1, b2, g2, a3, f3, d4, e4;11;c1, d5, e1, d1, g1, b2, f2, g2, a3, f3, h3, a4, d4, e4;14;d5, e4, d4, a4, f3;5;;0;a4, c1, d4;3;b5, h6;2;b5, c5, a6, d6, f6, b7, g7, a8, b4, e8, f8, g8;12;b5, c5, a6, d6, f6, h6, b7, f7, g7, a8, c4, e8, f8;13;h6, b5;2;;0;False;False
20;True;axb5;a4xb5;-38;44;Ree3;34;72;2;False;True;False;45;7;c5, a6, f6, b7, b4, e8;6;b5, d5, f3, d4, e4;5;b1, c1, d1, e1, g1, b2, g2, a3, f3, d4, e4;11;b5, c1, d5, e1, d1, g1, b2, f2, g2, a3, f3, h3, d4, e4;14;d5, b5, e4, d4, f3;5;;0;a3, b5, c1;3;a6, h6;2;c5, d6, f6, b7, g7, a8, b4, e8, f8, g8;10;c5, a6, d6, f6, h6, b7, f7, g7, a8, e8, f8;11;h6, a6;2;;0;False;False
20;False;axb5;a6xb5;0;45;axb5;-2;2;0;False;True;False;48;3;c5, f6, b7, a8, b4, e8;6;d5, a3, f3, d4, e4;5;b1, c1, d1, e1, g1, b2, g2, a3, f3, d4, e4;11;c1, d5, e1, d1, g1, b2, f2, g2, a3, f3, h3, d4, e4;13;d5, e4, d4, f3, a3;5;;0;a3, c1, d4;3;a8, b5, h6;3;b5, c5, d6, f6, b7, g7, a8, e8, f8, g8;10;c5, d6, f6, h6, b7, f7, g7, a8, c4, e8, f8;11;a8, h6;2;b5;1;False;False
21;True;Nxb5;Nd4xb5;-31;48;b3;-19;12;1;False;True;False;52;7;c5, f6, b7, a8, b4, e8;6;d5, b2, a3, f3, e4;5;b1, b5, d1, e1, c1, g1, b2, g2, a3, f3, e4;11;c1, d5, e1, d1, g1, b2, f2, g2, a3, f3, h3, e4;12;d5, e4, f3, a3, b2;5;;0;a3, b5, c1;3;a8, d6, h6;3;c5, d6, f6, b7, g7, a8, e8, f8, g8;9;c5, d6, f6, h6, b7, f7, g7, a8, e8, f8;10;a8, h6, d6;3;;0;False;False
21;False;Rxa3;Ra8xa3;-12;52;Rxa3;25;37;0;False;True;False;39;4;c5, f6, a3, b7, b4, e8;6;b2, d5, e4, f3;4;b1, c1, d1, e1, g1, g2, f3, e4;8;c1, d5, e1, d1, g1, b2, f2, g2, f3, h3, e4;11;d5, e4, f3, b2;4;;0;b5, c1, b2;3;a3, d6, h6;3;c5, d6, f6, g7, e8, f8, g8;7;c5, d6, f6, h6, b7, f7, g7, f8;8;h6, d6;2;a3;1;False;False
22;True;Nxa3;Nb5xa3;-41;39;Nxa3;0;41;2;False;True;False;46;6;c5, f6, b7, b4, e8;5;b2, d5, e4, f3;4;b1, c1, d1, e1, g1, b2, g2, a3, f3, e4;10;b1, c1, d5, e1, d1, g1, b2, f2, g2, a3, f3, h3, e4;13;d5, e4, f3, b2;4;;0;a3, c1;2;c4, h6;2;c5, d6, f6, g7, e8, f8, g8;7;c5, d6, f6, h6, b7, f7, g7, f8;8;h6;1;c4;1;False;False
22;False;Ba6;Bb7-a6;60;46;Ba6;31;29;0;False;False;False;35;2;b4, c5, e8, f6;4;b2, d5, e4, f3;4;b1, c1, d1, e1, g1, b2, g2, a3, f3, e4;10;b1, c1, d5, e1, d1, g1, b2, f2, g2, a3, f3, h3, e4;13;d5, e4, f3, b2;4;;0;a3, c1;2;c4, h6;2;c5, a6, d6, f6, g7, b4, e8, f8, g8;9;c5, a6, d6, f6, h6, f7, g7, c4, f8;9;h6, c4;2;;0;False;False
23;True;Re3;Re1-e3;10;35;Re3;5;5;0;False;False;False;43;5;b4, c5, e8, f6;4;b2, d5, e4, f3;4;b1, c1, d1, g1, b2, f2, g2, a3, e3, f3, e4;11;b1, c1, d5, g1, b2, f2, g2, a3, e3, f3, h3, e4;12;d5, e4, f3, b2;4;;0;a3;1;c4;1;c5, a6, d6, f6, g7, b4, e8, f8, g8;9;c5, a6, d6, f6, h6, f7, g7, c4, f8;9;c4;1;;0;False;False
23;False;Rb8;Re8-b8;34;43;Rb8;30;4;0;False;False;False;36;1;b4, c5, f6;3;b2, d5, e4, f3;4;b1, c1, d1, g1, b2, f2, g2, a3, e3, f3, e4;11;b1, c1, d5, g1, b2, f2, g2, a3, e3, f3, h3, e4;12;d5, e4, f3, b2;4;;0;a3;1;c4;1;c5, a6, d6, f6, g7, b4, b8, f8, g8;9;c5, a6, d6, f6, h6, f7, g7, b4, c4, f8;10;c4;1;;0;False;False
