fullmove_number;turn;san;lan;score;move_count;best_move;best_move_score;best_move_score_diff;best_move_score_diff_category;is_check;is_capture;is_castling;possible_moves_count;is_capture_count;attackers;attackers_count;threatened_pieces;threatened_pieces_count;guards;guards_count;guarded_pieces;guarded_pieces_count;threatened_guarded_pieces;threatened_guarded_pieces_count;unopposed_threats;unopposed_threats_count;pawn_ending;rook_ending
13;True;Bc2;Bb3-c2;-14;32;d5;23;37;1;False;False;False;33;4;a4, d4, f3;3;b5, e5;2;a6, c6, d6, f6, b7, c7, g7, a8, d8, e8, f8, g8;12;b5, e5, a6, c6, d6, f6, h6, c7, f7, g7, a8, d8, e8, f8, g8;15;e5, b5;2;;0;False;False
13;False;exd4;e5xd4;37;33;exd4;67;30;0;False;True;False;32;3;b5, d4, e8, f6;4;a4, c3, e4;3;a1, c1, d1, e1, g1, b2, c2, d2, g2, f3;10;c1, d1, e1, g1, b2, c2, d2, f2, g2, c3, f3, h3, a4, e4;14;e4, a4, c3;3;;0;False;False
14;True;cxd4;c3xd4;-26;32;Nxd4;54;80;2;False;True;False;35;4;a4;1;b5;1;a6, c6, f6, b7, c7, g7, a8, d8, e8, f8, g8;11;b5, a6, c6, d6, f6, h6, c7, f7, g7, a8, d8, e8, f8, g8;14;b5;1;;0;False;False
14;False;Nb4;Nc6-b4;34;35;Nb4;60;26;0;False;False;False;29;1;b5, f6, b7, b4, e8;5;a4, c2, e4;3;a1, c1, d1, e1, g1, c2, d2, g2, f3;9;c1, d1, e1, g1, b2, c2, d2, f2, g2, f3, h3, a4, d4, e4;14;e4, a4, c2;3;;0;False;False
15;True;Bb1;Bc2-b1;14;29;Bb1;-1;15;0;False;False;False;37;4;a4;1;b5;1;a6, f6, b7, c7, g7, a8, b4, d8, e8, f8, g8;11;b5, a6, d6, f6, h6, c7, f7, g7, a8, d8, e8, f8, g8;13;b5;1;;0;False;False
15;False;c5;c7-c5;76;37;g6;41;35;1;False;False;False;30;2;b5, c5, f6, b7, e8;5;a4, d4, e4;3;a1, b1, c1, d1, e1, g1, d2, g2, f3;9;b1, c1, d1, e1, g1, b2, d2, f2, g2, f3, h3, a4, d4, e4;14;e4, d4, a4;3;;0;False;False
16;True;d5;d4-d5;3;30;d5;37;34;0;False;False;False;37;6;a4;1;b5;1;c5, a6, d6, f6, b7, g7, a8, b4, d8, e8, f8, g8;12;b5, c5, a6, d6, f6, h6, f7, g7, a8, b4, d8, e8, f8, g8;14;b5;1;;0;False;False
16;False;Nd7;Nf6-d7;95;37;g6;95;0;1;False;False;False;29;1;b4, e8, b5, b7;4;a4, d5, e4;3;a1, b1, c1, d1, e1, g1, d2, g2, f3, e4;10;b1, c1, d5, e1, d1, g1, b2, d2, f2, g2, f3, h3, a4, e4;14;d5, e4, a4;3;;0;False;False
17;True;Ra3;Ra1-a3;0;29;Nf1;54;54;2;False;False;False;39;4;a4;1;b5;1;c5, a6, d6, b7, d7, g7, a8, b4, d8, e8, f8, g8;12;b5, c5, a6, d6, h6, d7, f7, g7, a8, b4, d8, e8, f8;13;b5;1;;0;False;False
17;False;c4;c5-c4;16;39;c4;26;10;0;False;False;False;33;2;b4, e8, b5, b7;4;a4, d5, e4;3;b1, c1, d1, e1, g1, b2, d2, g2, a3, f3, e4;11;b1, c1, d5, e1, d1, g1, b2, d2, f2, g2, a3, f3, h3, a4, e4;15;d5, e4, a4;3;;0;False;False
18;True;Nd4;Nf3-d4;-13;33;Nd4;-34;21;0;False;False;False;40;4;a4, d2, d4;3;b5, c4;2;b5, a6, b7, d7, g7, a8, b4, d8, e8, f8, g8;11;b5, a6, d6, h6, d7, f7, g7, a8, c4, d8, e8, f8;12;b5, c4;2;;0;False;False
18;False;Qf6;Qd8-f6;25;40;Qf6;0;25;0;False;False;False;44;3;b5, f6, b7, b4, e8;5;d5, f2, a4, d4, e4;5;b1, c1, d1, e1, g1, b2, d2, g2, a3, e4;10;b1, c1, d5, e1, d1, g1, b2, d2, g2, a3, h3, a4, e4;13;d5, e4, a4;3;d4, f2;0;False;False
19;True;N2f3;Nd2-f3;-4;44;N2f3;0;4;0;False;False;False;43;6;a4, c1, d4;3;b5, h6;2;b5, a6, f6, b7, d7, g7, a8, b4, e8, f8, g8;11;b5, a6, d6, f6, h6, f7, g7, a8, c4, e8, f8;11;h6, b5;2;;0;False;False
19;False;Nc5;Nd7-c5;22;43;Nc5;43;21;0;False;False;False;44;3;b5, c5, f6, b7, b4, e8;6;d5, f3, a4, d4, e4;5;b1, c1, d1, e1, g1, b2, g2, a3, f3, d4, e4;11;c1, d5, e1, d1, g1, b2, f2, g2, a3, f3, h3, a4, d4, e4;14;d5, e4, d4, a4, f3;5;;0;False;False
20;True;axb5;a4xb5;-29;44;Ree3;11;40;2;False;True;False;45;7;a3, b5, c1;3;a6, h6;2;c5, d6, f6, b7, g7, a8, b4, e8, f8, g8;10;c5, a6, d6, f6, h6, b7, f7, g7, a8, e8, f8;11;h6, a6;2;;0;False;False
20;False;axb5;a6xb5;0;45;axb5;-19;19;0;False;True;False;48;3;c5, f6, b7, a8, b4, e8;6;d5, a3, f3, d4, e4;5;b1, c1, d1, e1, g1, b2, g2, a3, f3, d4, e4;11;c1, d5, e1, d1, g1, b2, f2, g2, a3, f3, h3, d4, e4;13;d5, e4, d4, f3, a3;5;;0;False;False
21;True;Nxb5;Nd4xb5;0;48;Nxb5;-23;23;0;False;True;False;52;7;a3, b5, c1;3;a8, d6, h6;3;c5, d6, f6, b7, g7, a8, e8, f8, g8;9;c5, d6, f6, h6, b7, f7, g7, a8, e8, f8;10;a8, h6, d6;3;;0;False;False
21;False;Rxa3;Ra8xa3;13;52;Rxa3;4;9;0;False;True;False;39;4;c5, f6, a3, b7, b4, e8;6;b2, d5, e4, f3;4;b1, c1, d1, e1, g1, g2, f3, e4;8;c1, d5, e1, d1, g1, b2, f2, g2, f3, h3, e4;11;d5, e4, f3, b2;4;;0;False;False
